Rank,Series,Product Division,Business Unit,Sum of Units Sold,Sum of Trade Sales,Date,Actual Sell-In,Biz Forecast Value,ML Forecast Value,ML Forecast Upper Bound,Open Orders,Running Inventory,ac_model,ww_model,gs_model,Model,Biz Rolling Accuracy,ML Rolling Accuracy,Rolling ML-Biz,12M Weighted Avg Biz Rolling Accuracy,12M Weighted Avg ML Rolling Accuracy,12M Weighted Avg Rolling ML-Biz,6M Weighted Avg Biz Rolling Accuracy,6M Weighted Avg ML Rolling Accuracy,6M Weighted Avg Rolling ML-Biz,12M Simple Avg Biz Rolling Accuracy,12M Simple Avg ML Rolling Accuracy,Biz Accuracy,ML Accuracy,ML-Biz,12M Weighted Avg Biz Accuracy,12M Weighted Avg ML Accuracy,12M Simple Avg Biz Accuracy,12M Simple Avg ML Accuracy,AC Rolling Accuracy,Rolling AC-Biz,WW Rolling Accuracy,Rolling WW-Biz,GS Rolling Accuracy,Rolling GS-Biz,12M Weighted Avg AC Rolling Accuracy,12M Weighted Avg WW Rolling Accuracy,12M Weighted Avg GS Rolling Accuracy,6M Weighted Avg AC Rolling Accuracy,6M Weighted Avg WW Rolling Accuracy,6M Weighted Avg GS Rolling Accuracy,12M Simple Avg AC Rolling Accuracy,12M Simple Avg WW Rolling Accuracy,12M Simple Avg GS Rolling Accuracy,AC Accuracy,AC-Biz,WW Accuracy,WW-Biz,GS Accuracy,GS-Biz,12M Weighted Avg AC Accuracy,12M Weighted Avg WW Accuracy,12M Weighted Avg GS Accuracy,12M Simple Avg AC Accuracy,12M Simple Avg WW Accuracy,12M Simple Avg GS Accuracy,Biz Forecast Count,ML Forecast Count,AC Forecast Count,WW Forecast Count,GS Forecast Count,Biz High Accuracy >= 0.5,ML High Accuracy >= 0.5,AC High Accuracy >= 0.5,WW High Accuracy >= 0.5,GS High Accuracy >= 0.5,ML_win_tie,ML_win_no_tie,ML_rolling_win_tie,ML_rolling_win_no_tie,AC_win_tie,AC_win_no_tie,AC_rolling_win_tie,AC_rolling_win_no_tie,WW_win_tie,WW_win_no_tie,WW_rolling_win_tie,WW_rolling_win_no_tie,GS_win_tie,GS_win_no_tie,GS_rolling_win_tie,GS_rolling_win_no_tie,12M Total Actual Sell-In,total_Biz_diff,total_ML_diff,total_AC_diff,total_WW_diff,total_GS_diff,Biz_diff,ML_diff,AC_diff,WW_diff,GS_diff,Actual rolling sum,Biz rolling sum,ML rolling sum,AC rolling sum,WW rolling sum,GS rolling sum,Month_to_Month_Confidence,Rolling_Confidence,Weighted_Avg_Confidence,AC_Confidence,WW_Confidence,GS_Confidence,Previous_Confidence,Final_Confidence
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2023-10-31,144322.0,154111.0,120021.0,120021.0,,,48489.0,120021.0,87549.0,WW,0.0,0.0,0.0,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.9321725031526725,0.8316195728994886,-0.1005529302531839,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.0,0.0,0.0,0.0,0.0,0.0,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.3359778827898726,-0.5961946203627999,0.8316195728994886,-0.1005529302531839,0.6066226909272321,-0.32554981222544044,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,,,,,,,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2023-11-30,114269.0,78972.0,60524.0,60524.0,,,44443.0,60524.0,68834.0,WW,0.0,0.0,0.0,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.691106074263361,0.5296624631352336,-0.16144361112812744,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.0,0.0,0.0,0.0,0.0,0.0,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.3889331314704776,-0.3021729427928834,0.5296624631352336,-0.16144361112812744,0.6023855988938382,-0.08872047536952277,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,,,,,,,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2023-12-31,73792.0,69616.0,49527.0,49527.0,,,40624.0,49527.0,62803.0,WW,0.9106933868458976,0.6921894320708339,-0.21850395477506368,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.9434084995663486,0.6711703165654814,-0.2722381830008672,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.4018135704894654,-0.5088798163564322,0.6921894320708339,-0.21850395477506368,0.6594380579030816,-0.251255328942816,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.550520381613183,-0.3928881179531657,0.6711703165654814,-0.2722381830008672,0.8510814180398959,-0.09232708152645275,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,332383.0,302699.0,230072.0,133556.0,230072.0,219186.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-01-31,74002.0,45380.0,49291.0,49291.0,,,37871.0,49291.0,71231.0,WW,0.7401579009627456,0.6080293669842748,-0.1321285339784708,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.6132266695494717,0.6660765925245264,0.05284992297505475,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.4691162048820322,-0.2710416960807134,0.6080293669842748,-0.1321285339784708,0.7741192003449552,0.0339612993822096,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.5117564390151618,-0.10147023053430992,0.6660765925245264,0.05284992297505475,0.9625550660792952,0.3493283965298235,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,262063.0,193968.0,159342.0,122938.0,159342.0,202868.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-02-29,50659.0,93443.0,56801.0,56801.0,,,32520.0,56801.0,62529.0,WW,0.9496807808397958,0.7841604813230336,-0.16552029951676217,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.1554511537930081,0.8787579699559802,0.7233068161629721,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.5594019742709861,-0.39027880656880964,0.7841604813230336,-0.16552029951676217,0.9904763344469472,0.04079555360715137,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.6419392408061746,0.4864880870131665,0.8787579699559802,0.7233068161629721,0.7656882291399356,0.6102370753469275,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,198453.0,208439.0,155619.0,111015.0,155619.0,196563.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-03-31,90174.0,104490.0,60895.0,60895.0,,,37128.0,60895.0,64317.0,WW,0.8674424558382015,0.7772802383224335,-0.09016221751576792,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.841240268813627,0.6753055204382639,-0.16593474837536315,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.5004724556054647,-0.36697000023273674,0.7772802383224335,-0.09016221751576792,0.9219959503805246,0.054553494542323167,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.4117373078714486,-0.42950296094217844,0.6753055204382639,-0.16593474837536315,0.7132543748752411,-0.1279858939383859,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,214835.0,243313.0,166987.0,107519.0,166987.0,198077.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-04-30,51098.0,53642.0,67418.0,67418.0,,,52023.0,67418.0,63581.0,WW,0.6892424881858585,0.9644820273952618,0.27523953920940325,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.9502133155896513,0.6806137226505931,-0.2695995929390582,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.6339309439329759,-0.05531154425288265,0.9644820273952618,0.27523953920940325,0.9921638505504582,0.30292136236459966,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.9818975302360171,0.03168421464636584,0.6806137226505931,-0.2695995929390582,0.7557047242553525,-0.19450859133429876,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,191931.0,251575.0,185114.0,121671.0,185114.0,190427.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-05-31,59773.0,70103.0,76238.0,76238.0,,,48007.0,76238.0,58220.0,WW,0.864756646521923,0.9825611181576264,0.1178044716357034,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.8271794957589547,0.724541180800696,-0.1026383149582587,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.6822253724290581,-0.18253127409286485,0.9825611181576264,0.1178044716357034,0.9257529408838817,0.06099629436195875,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.8031552707744299,-0.024024224984524722,0.724541180800696,-0.1026383149582587,0.9740183694979339,0.1468388737389792,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,201045.0,228235.0,204551.0,137158.0,204551.0,186118.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-06-30,102588.0,79208.0,72624.0,72624.0,,,51147.0,72624.0,70432.0,WW,0.9507821174089638,0.9867843473453919,0.0360022299364281,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.7720981011424338,0.7079190548602176,-0.06417904628221627,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.7082249987116964,-0.24255711869726737,0.9867843473453919,0.0360022299364281,0.9005617003733738,-0.05022041703558999,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.49856708386945847,-0.27353101727297535,0.7079190548602176,-0.06417904628221627,0.6865520333762234,-0.08554606776621043,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,213459.0,202953.0,216280.0,151177.0,216280.0,192233.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1740955.0,363510202.09000003,2024-07-31,72433.0,83801.0,82136.0,82136.0,,,67486.0,82136.0,117183.0,WW,0.9928362734993228,0.9838326362683885,-0.009003637230934336,0.9284952602060408,0.855728245882815,-0.07276701432322574,0.9431694929139619,0.891184089873019,-0.0519854030409429,0.9246874141501463,0.8455787712773727,0.8430549611364986,0.8660417213148703,0.022986760178371757,0.8274300102357254,0.7900212322496013,0.8251903819158718,0.7745255208145818,0.7097285279862348,-0.28310774551308804,0.9838326362683885,-0.009003637230934336,0.952975800063034,-0.039860473436288846,0.7053771694694457,0.855728245882815,0.8065789143440957,0.7438555197669529,0.891184089873019,0.8643308810651569,0.6853995548510121,0.8455787712773727,0.8033061607214013,0.9317024008393964,0.08864743970289779,0.8660417213148703,0.022986760178371757,0.38218767688760646,-0.4608672842488921,0.6665075296215791,0.7900212322496013,0.6886419851930525,0.6509170773250516,0.7745255208145818,0.6721149958742091,24,24,24,24,24,12,12,9,12,11,5,5,1,1,2,2,1,1,5,5,1,1,4,4,3,3,1216757.0,18406.0,2763.0,401791.0,2763.0,100020.0,,,,,,234794.0,233112.0,230998.0,166640.0,230998.0,245835.0,Medium,Medium,Medium,Medium Low - 6M/50%,Medium,Medium Low - 6M/50%,Medium,Medium
