Rank,Series,Product Division,Business Unit,Sum of Units Sold,Sum of Trade Sales,Date,Actual Sell-In,Biz Forecast Value,ML Forecast Value,ML Forecast Upper Bound,ac_model,ww_model,gs_model,Model,Biz Rolling Accuracy,ML Rolling Accuracy,Rolling ML-Biz,12M Weighted Avg Biz Rolling Accuracy,12M Weighted Avg ML Rolling Accuracy,12M Weighted Avg Rolling ML-Biz,6M Weighted Avg Biz Rolling Accuracy,6M Weighted Avg ML Rolling Accuracy,6M Weighted Avg Rolling ML-Biz,12M Simple Avg Biz Rolling Accuracy,12M Simple Avg ML Rolling Accuracy,Biz Accuracy,ML Accuracy,ML-Biz,12M Weighted Avg Biz Accuracy,12M Weighted Avg ML Accuracy,12M Simple Avg Biz Accuracy,12M Simple Avg ML Accuracy,AC Rolling Accuracy,Rolling AC-Biz,WW Rolling Accuracy,Rolling WW-Biz,GS Rolling Accuracy,Rolling GS-Biz,12M Weighted Avg AC Rolling Accuracy,12M Weighted Avg WW Rolling Accuracy,12M Weighted Avg GS Rolling Accuracy,6M Weighted Avg AC Rolling Accuracy,6M Weighted Avg WW Rolling Accuracy,6M Weighted Avg GS Rolling Accuracy,12M Simple Avg AC Rolling Accuracy,12M Simple Avg WW Rolling Accuracy,12M Simple Avg GS Rolling Accuracy,AC Accuracy,AC-Biz,WW Accuracy,WW-Biz,GS Accuracy,GS-Biz,12M Weighted Avg AC Accuracy,12M Weighted Avg WW Accuracy,12M Weighted Avg GS Accuracy,12M Simple Avg AC Accuracy,12M Simple Avg WW Accuracy,12M Simple Avg GS Accuracy,Biz Forecast Count,ML Forecast Count,AC Forecast Count,WW Forecast Count,GS Forecast Count,Biz High Accuracy >= 0.5,ML High Accuracy >= 0.5,AC High Accuracy >= 0.5,WW High Accuracy >= 0.5,GS High Accuracy >= 0.5,ML_win_tie,ML_win_no_tie,ML_rolling_win_tie,ML_rolling_win_no_tie,AC_win_tie,AC_win_no_tie,AC_rolling_win_tie,AC_rolling_win_no_tie,WW_win_tie,WW_win_no_tie,WW_rolling_win_tie,WW_rolling_win_no_tie,GS_win_tie,GS_win_no_tie,GS_rolling_win_tie,GS_rolling_win_no_tie,12M Total Actual Sell-In,total_Biz_diff,total_ML_diff,total_AC_diff,total_WW_diff,total_GS_diff,Biz_diff,ML_diff,AC_diff,WW_diff,GS_diff,Actual rolling sum,Biz rolling sum,ML rolling sum,AC rolling sum,WW rolling sum,GS rolling sum,Month_to_Month_Confidence,Rolling_Confidence,Weighted_Avg_Confidence,AC_Confidence,WW_Confidence,GS_Confidence,Previous_Confidence,Final_Confidence
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-08-31,62782.0,,,,,,,No Forecast,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.0,0.0,0.0,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.0,0.0,0.0,0.0,0.0,0.0,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-09-30,78499.0,,,,,,,No Forecast,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.0,0.0,0.0,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.0,0.0,0.0,0.0,0.0,0.0,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-10-31,144322.0,,,,,,,No Forecast,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.0,0.0,0.0,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.0,0.0,0.0,0.0,0.0,0.0,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,285603.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-11-30,114269.0,,,,,,,No Forecast,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.0,0.0,0.0,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.0,0.0,0.0,0.0,0.0,0.0,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,337090.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-12-31,73792.0,,,,,,,No Forecast,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.0,0.0,0.0,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.0,0.0,0.0,0.0,0.0,0.0,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,332383.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-01-31,74002.0,,,,30940.0,,,WW,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.0,0.0,0.0,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.4180968081943731,0.4180968081943731,0.0,0.0,0.0,0.0,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,262063.0,,,,,,Unavailable,Unavailable,Unavailable,Medium,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-02-29,50659.0,25651.0,36724.0,36724.0,34184.0,36724.0,57212.0,WW,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.5063463550405654,0.7249254821453246,0.21857912710475924,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.0,0.0,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.6747863163505003,0.168439961309935,0.7249254821453246,0.21857912710475924,0.8706449002151642,0.3642985451745988,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,198453.0,,,,,,Medium,High,High,Medium,High,High,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-03-31,90174.0,47190.0,44835.0,44835.0,35519.0,44835.0,54559.0,WW,0.0,0.0,0.0,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.5233215782819882,0.4972054028877504,-0.02611617539423783,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.4684664975446273,0.4684664975446273,0.0,0.0,0.0,0.0,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.39389402710315613,-0.1294275511788321,0.4972054028877504,-0.02611617539423783,0.6050413644731297,0.08171978619114151,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,214835.0,,,100643.0,,,Medium,High,High,Medium,High,High,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-04-30,51098.0,28853.0,63098.0,63098.0,44816.0,63098.0,72296.0,WW,0.5298466636447473,0.753692733326039,0.22384606968129173,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.5646600649731888,0.765157149007789,0.2004970840346002,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.5966675524016443,0.06682088875689696,0.753692733326039,0.22384606968129173,0.9590269419739386,0.42918027832919126,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.8770597675055776,0.3123997025323888,0.765157149007789,0.2004970840346002,0.5851501037222592,0.020490038749070405,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,191931.0,101694.0,144657.0,114519.0,144657.0,184067.0,Medium,High,High,Medium,High,High,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-05-31,59773.0,48942.0,72567.0,72567.0,37136.0,72567.0,54099.0,WW,0.6216767390385237,0.8978089482454177,0.27613220920689396,0.6814334526468026,0.8635821792497911,0.18214872660298853,0.6895942637311885,0.7864301103154037,0.09683584658421518,0.6778065621906345,0.8790456486703421,0.8187977849530724,0.7859568701587674,-0.032840914794305065,0.7020058661598914,0.7289888246878116,0.6954603384135661,0.7285090758011105,0.5843020219353876,-0.03737471710313611,0.8978089482454177,0.27613220920689396,0.9000671491457136,0.2783904101071899,0.5979326412958477,0.8635821792497911,0.8241825985384307,0.686765480307008,0.7864301103154037,0.8320346746412881,0.5807453949093542,0.8790456486703421,0.8257775813288131,0.6212838572599668,-0.1975139276931056,0.7859568701587674,-0.032840914794305065,0.905074197380088,0.08627641242701556,0.6119686449971777,0.7289888246878116,0.759245952424101,0.5937860799154958,0.7285090758011105,0.7611326856161309,16,16,17,16,16,12,12,9,12,12,8,8,10,10,2,2,3,3,8,8,10,10,9,9,12,12,1194034.0,378538.0,26632.0,531080.0,26632.0,160002.0,,,,,,201045.0,124985.0,180500.0,117471.0,180500.0,180954.0,Medium,High,High,Medium,High,High,,High
