Rank,Series,Product Division,Business Unit,Date,Actual Sell-In,Biz Forecast Value,ML Forecast Value,ML Forecast Upper Bound,ecom_model,Model,Biz Rolling Accuracy,ML Rolling Accuracy,Rolling ML-Biz,12M Weighted Avg Biz Rolling Accuracy,12M Weighted Avg ML Rolling Accuracy,12M Weighted Avg Rolling ML-Biz,6M Weighted Avg Biz Rolling Accuracy,6M Weighted Avg ML Rolling Accuracy,6M Weighted Avg Rolling ML-Biz,12M Simple Avg Biz Rolling Accuracy,12M Simple Avg ML Rolling Accuracy,Biz Accuracy,ML Accuracy,ML-Biz,12M Weighted Avg Biz Accuracy,12M Weighted Avg ML Accuracy,12M Simple Avg Biz Accuracy,12M Simple Avg ML Accuracy,ECOM Rolling Accuracy,Rolling ECOM-Biz,12M Weighted Avg ECOM Rolling Accuracy,6M Weighted Avg ECOM Rolling Accuracy,12M Simple Avg ECOM Rolling Accuracy,ECOM Accuracy,ECOM-Biz,12M Weighted Avg ECOM Accuracy,12M Simple Avg ECOM Accuracy,Biz Forecast Count,ML Forecast Count,ECOM Forecast Count,Biz High Accuracy >= 0.5,ML High Accuracy >= 0.5,ECOM High Accuracy >= 0.5,ML_win_tie,ML_win_no_tie,ML_rolling_win_tie,ML_rolling_win_no_tie,ECOM_win_tie,ECOM_win_no_tie,ECOM_rolling_win_tie,ECOM_rolling_win_no_tie,12M Total Actual Sell-In,total_Biz_diff,total_ML_diff,total_ECOM_diff,Biz_diff,ML_diff,ECOM_diff,Actual rolling sum,Biz rolling sum,ML rolling sum,ECOM rolling sum,Month_to_Month_Confidence,Rolling_Confidence,Weighted_Avg_Confidence,ECOM_Confidence,Previous_Confidence,Final_Confidence
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2023-08-31,3212.0,2950.0,,,,No Forecast,0.0,0.0,0.0,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.9184308841843088,0.0,-0.9184308841843088,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.0,0.0,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.0,-0.9184308841843088,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2023-09-30,2652.0,4185.0,,,,No Forecast,0.0,0.0,0.0,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.4219457013574661,0.0,-0.4219457013574661,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.0,0.0,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.0,-0.4219457013574661,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2023-10-31,3131.0,8912.0,3257.0,3257.0,3257.0,ECOM,0.2160088938299055,0.0,-0.2160088938299055,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.0,0.9597572660491855,0.9597572660491855,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.0,-0.2160088938299055,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.9597572660491855,0.9597572660491855,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,8995.0,16047.0,,,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2023-11-30,7590.0,13070.0,2981.0,2981.0,2981.0,ECOM,0.04329619382337546,0.0,-0.04329619382337546,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.2779973649538867,0.3927536231884058,0.11475625823451907,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.0,-0.04329619382337546,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.3927536231884058,0.11475625823451907,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,13373.0,26167.0,,,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2023-12-31,16909.0,13602.0,9203.0,9203.0,9203.0,ECOM,0.7121245023525153,0.5588490770901194,-0.1532754252623959,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.8044236796972026,0.5442663670234786,-0.260157312673724,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.5588490770901194,-0.1532754252623959,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.5442663670234786,-0.260157312673724,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,27630.0,35584.0,15441.0,15441.0,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2024-01-31,1237.0,1205.0,6860.0,6860.0,6860.0,ECOM,0.9168091389493317,0.7399751321106621,-0.17683400683866957,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.9741309620048505,0.0,-0.9741309620048505,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.7399751321106621,-0.17683400683866957,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.0,-0.9741309620048505,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,25736.0,27877.0,19044.0,19044.0,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2024-02-29,1257.0,1835.0,2668.0,2668.0,2668.0,ECOM,0.8577024171519868,0.9653661804875535,0.10766376333556671,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.5401750198886237,0.0,-0.5401750198886237,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.9653661804875535,0.10766376333556671,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.0,-0.5401750198886237,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,19403.0,16642.0,18731.0,18731.0,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2024-03-31,3213.0,2525.0,3961.0,3961.0,3961.0,ECOM,0.9751182758016471,0.0,-0.9751182758016471,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.7858699035169623,0.7671957671957672,-0.01867413632119508,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.0,-0.9751182758016471,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.7671957671957672,-0.01867413632119508,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,5707.0,5565.0,13489.0,13489.0,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2024-04-30,2659.0,3435.0,4031.0,4031.0,4031.0,ECOM,0.9065787627998316,0.504699116285594,-0.4018796465142376,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.7081609627679579,0.48401654757427603,-0.2241444151936819,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.504699116285594,-0.4018796465142376,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.48401654757427603,-0.2241444151936819,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,7129.0,7795.0,10660.0,10660.0,Medium,Medium,High,High,High,High
1.0,Charge,JBL Smart Audio,PORTABLE AUDIO,2024-05-31,2963.0,3585.0,3902.0,3902.0,3902.0,ECOM,0.9196378041878891,0.6537634408602151,-0.265874363327674,0.7584194460623848,0.8274781185020619,0.06905867243967712,0.683581607775191,0.8413671691183017,0.15778556134311073,0.7802525194521454,0.8264996494097211,0.7900776240296996,0.683091461356733,-0.10698616267296657,0.6575125906948218,0.7203962342722511,0.659191727617522,0.7300102379614656,0.6537634408602151,-0.265874363327674,0.8274781185020619,0.8413671691183017,0.8264996494097211,0.683091461356733,-0.10698616267296657,0.7203962342722511,0.7300102379614656,22,20,20,12,12,12,7,7,7,7,7,7,7,7,56014.0,3240.0,1366.0,1366.0,,,,8835.0,9545.0,11894.0,11894.0,Medium,Medium,High,High,High,High
